Category: All categories,
,
Month,Hate crime: (United States)
2007-01,27
2007-02,26
2007-03,28
2007-04,39
2007-05,56
2007-06,25
2007-07,26
2007-08,16
2007-09,55
2007-10,45
2007-11,43
2007-12,37
2008-01,20
2008-02,38
2008-03,38
2008-04,41
2008-05,26
2008-06,14
2008-07,16
2008-08,14
2008-09,19
2008-10,34
2008-11,46
2008-12,25
2009-01,21
2009-02,24
2009-03,30
2009-04,44
2009-05,47
2009-06,28
2009-07,35
2009-08,15
2009-09,23
2009-10,60
2009-11,48
2009-12,30
2010-01,17
2010-02,22
2010-03,27
2010-04,35
2010-05,23
2010-06,16
2010-07,12
2010-08,15
2010-09,19
2010-10,32
2010-11,23
2010-12,17
2011-01,15
2011-02,18
2011-03,22
2011-04,28
2011-05,20
2011-06,13
2011-07,13
2011-08,19
2011-09,20
2011-10,22
2011-11,25
2011-12,16
2012-01,16
2012-02,20
2012-03,36
2012-04,36
2012-05,23
2012-06,13
2012-07,15
2012-08,18
2012-09,21
2012-10,19
2012-11,18
2012-12,16
2013-01,12
2013-02,15
2013-03,16
2013-04,19
2013-05,19
2013-06,10
2013-07,19
2013-08,15
2013-09,15
2013-10,16
2013-11,21
2013-12,16
2014-01,11
2014-02,15
2014-03,16
2014-04,23
2014-05,15
2014-06,9
2014-07,9
2014-08,10
2014-09,27
2014-10,16
2014-11,15
2014-12,16
2015-01,12
2015-02,22
2015-03,18
2015-04,18
2015-05,14
2015-06,28
2015-07,16
2015-08,11
2015-09,14
2015-10,14
2015-11,19
2015-12,21
2016-01,12
2016-02,18
2016-03,17
2016-04,18
2016-05,17
2016-06,23
2016-07,18
2016-08,10
2016-09,14
2016-10,16
2016-11,90
2016-12,32
2017-01,100
2017-02,41
2017-03,41
2017-04,24
2017-05,28
2017-06,21
2017-07,13
2017-08,19
2017-09,17
2017-10,18
2017-11,24
2017-12,15
2018-01,14
2018-02,16
2018-03,17
2018-04,18
2018-05,17
2018-06,15
2018-07,17
2018-08,12
2018-09,15
2018-10,28
2018-11,31
2018-12,22
