,ORI,DATA_YEAR,POPULATION
0,AK0010100,2017,296188
1,AK0010100,2016,299097
2,AK0010100,2015,301239
3,AK0010100,2014,301306
4,AK0010100,2013,299455
5,AK0010100,2012,299143
6,AK0010100,2011,296955
7,AK0010100,2010,291826
8,AK0010100,2009,283300
9,AK0010100,2008,280068
10,AK0011300,2017,6426
11,AK0011300,2016,6522
12,AK0011300,2015,6497
13,AK0011300,2014,6431
14,AK0011300,2013,6463
15,AK0011300,2012,6294
16,AK0011300,2011,6187
17,AK0011300,2010,6080
18,AK0011300,2009,6584
19,AK0011300,2008,6557
20,AL0011200,2017,85634
21,AL0011200,2016,85601
22,AL0011200,2015,85163
23,AL0011200,2014,84843
24,AL0011200,2013,84139
25,AL0011200,2012,82332
26,AL0011200,2011,82012
27,AL0011200,2010,81619
28,AL0011200,2009,71919
29,AL0011200,2008,70731
30,AL0190200,2017,28239
31,AL0190200,2016,28227
32,AL0190200,2015,28028
33,AL0190200,2014,28031
34,AL0190200,2013,28145
35,AL0190200,2012,26971
36,AL0190200,2011,26690
37,AL0190200,2010,26562
38,AL0190200,2009,25868
39,AL0190200,2008,24863
40,AL0430000,2017,61626
41,AL0430000,2016,60916
42,AL0430000,2015,60601
43,AL0430000,2014,59637
44,AL0430000,2013,58443
45,AL0430000,2012,57712
46,AL0430000,2011,56433
47,AL0430000,2010,56162
48,AL0430000,2009,48590
49,AL0430000,2008,48602
50,AL0450000,2017,7364
51,AL0450000,2016,7409
52,AL0450000,2015,7494
53,AL0450000,2014,6651
54,AL0450000,2013,6759
55,AL0450000,2012,7069
56,AL0450000,2011,8033
57,AL0450000,2010,7994
58,AL0450000,2009,10460
59,AL0450000,2008,10465
60,AL0630100,2017,101124
61,AL0630100,2016,99925
62,AL0630100,2015,97511
63,AL0630100,2014,96412
64,AL0630100,2013,94126
65,AL0630100,2012,91973
66,AL0630100,2011,90903
67,AL0630100,2010,90468
68,AL0630100,2009,91688
69,AL0630100,2008,90157
70,AR0010200,2017,8882
71,AR0010200,2016,9002
72,AR0010200,2015,9084
73,AR0010200,2014,9219
74,AR0010200,2013,9263
75,AR0010200,2012,9299
76,AR0010200,2011,9397
77,AR0010200,2010,9326
78,AR0010200,2009,8891
79,AR0010200,2008,8969
80,AR0040300,2017,16680
81,AR0040300,2016,16277
82,AR0040300,2015,16158
83,AR0040300,2014,16047
84,AR0040300,2013,15873
85,AR0040300,2012,15497
86,AR0040300,2011,15153
87,AR0040300,2010,15039
88,AR0040300,2009,15325
89,AR0040300,2008,14988
90,AR0040400,2017,5506
91,AR0040400,2016,5331
92,AR0040400,2015,5195
93,AR0040400,2014,5079
94,AR0040400,2013,5006
95,AR0040400,2012,4948
96,AR0040400,2011,4830
97,AR0040400,2010,4794
98,AR0040400,2009,4924
99,AR0040400,2008,4686
100,AR0042100,2017,28721
101,AR0042100,2016,28274
102,AR0042100,2015,27970
103,AR0042100,2014,27913
104,AR0042100,2013,27606
105,AR0042100,2012,27310
106,AR0042100,2011,26661
107,AR0042100,2010,26461
108,AR0042100,2009,27167
109,AR0042100,2008,16120
110,AR0080100,2017,5390
111,AR0080100,2016,5386
112,AR0080100,2015,5394
113,AR0080100,2014,5488
114,AR0080100,2013,5417
115,AR0080100,2012,5389
116,AR0080100,2011,5397
117,AR0080100,2010,5356
118,AR0080100,2009,5335
119,AR0080100,2008,5284
120,AR0140100,2017,11568
121,AR0140100,2016,11642
122,AR0140100,2015,11414
123,AR0140100,2014,11519
124,AR0140100,2013,11682
125,AR0140100,2012,11554
126,AR0140100,2011,11665
127,AR0140100,2010,11577
128,AR0140100,2009,11011
129,AR0140100,2008,11083
130,AR0150000,2017,13089
131,AR0150000,2016,13118
132,AR0150000,2015,13193
133,AR0150000,2014,13297
134,AR0150000,2013,13392
135,AR0150000,2012,13729
136,AR0150000,2011,13784
137,AR0150000,2010,13680
138,AR0150000,2009,13437
139,AR0150000,2008,13331
140,AR0160000,2017,18588
141,AR0160000,2016,18146
142,AR0160000,2015,18067
143,AR0160000,2014,18356
144,AR0160000,2013,18869
145,AR0160000,2012,21377
146,AR0160000,2011,20540
147,AR0160000,2010,20386
148,AR0160000,2009,20826
149,AR0160000,2008,20180
150,AR0160100,2017,76188
151,AR0160100,2016,75230
152,AR0160100,2015,73404
153,AR0160100,2014,72569
154,AR0160100,2013,71114
155,AR0160100,2012,68807
156,AR0160100,2011,67772
157,AR0160100,2010,67263
158,AR0160100,2009,64944
159,AR0160100,2008,64187
160,AR0180100,2017,25126
161,AR0180100,2016,24818
162,AR0180100,2015,25218
163,AR0180100,2014,25370
164,AR0180100,2013,25500
165,AR0180100,2012,26153
166,AR0180100,2011,26444
167,AR0180100,2010,26245
168,AR0180100,2009,26995
169,AR0180100,2008,27446
170,AR0230100,2017,66299
171,AR0230100,2016,66104
172,AR0230100,2015,65764
173,AR0230100,2014,64895
174,AR0230100,2013,64060
175,AR0230100,2012,60700
176,AR0230100,2011,59354
177,AR0230100,2010,58908
178,AR0230100,2009,59343
179,AR0230100,2008,58945
180,AR0230600,2017,0
181,AR0230600,2016,0
182,AR0230600,2015,0
183,AR0230600,2015,0
184,AR0230600,2014,0
185,AR0230600,2013,0
186,AR0230600,2012,0
187,AR0230600,2011,0
188,AR0230600,2010,0
189,AR0230600,2009,0
190,AR0260000,2017,60864
191,AR0260000,2016,61596
192,AR0260000,2015,61827
193,AR0260000,2014,61536
194,AR0260000,2013,61612
195,AR0260000,2012,61771
196,AR0260000,2011,61291
197,AR0260000,2010,60831
198,AR0260000,2009,59061
199,AR0260000,2008,57915
200,AR0260100,2017,36956
201,AR0260100,2016,35716
202,AR0260100,2015,35783
203,AR0260100,2014,35788
204,AR0260100,2014,35788
205,AR0260100,2013,35551
206,AR0260100,2012,35722
207,AR0260100,2011,35459
208,AR0260100,2010,35193
209,AR0260100,2009,39864
210,AR0280100,2017,28588
211,AR0280100,2016,28254
212,AR0280100,2015,27791
213,AR0280100,2014,27301
214,AR0280100,2013,27294
215,AR0280100,2012,26602
216,AR0280100,2011,26311
217,AR0280100,2010,26113
218,AR0280100,2009,25113
219,AR0280100,2008,24816
220,AR0320000,2017,26305
221,AR0320000,2016,26178
222,AR0320000,2015,26301
223,AR0320000,2014,36844
224,AR0320000,2013,36939
225,AR0320000,2012,36838
226,AR0320000,2011,36761
227,AR0320000,2010,36647
228,AR0320000,2009,34820
229,AR0320000,2008,34582
230,AR0340100,2017,7726
231,AR0340100,2016,7733
232,AR0340100,2015,7744
233,AR0340100,2014,7729
234,AR0340100,2013,7658
235,AR0340100,2012,7862
236,AR0340100,2011,7939
237,AR0340100,2010,7879
238,AR0340100,2009,7364
239,AR0340100,2008,7493
240,AR0360000,2017,15052
241,AR0360000,2016,15078
242,AR0360000,2015,15008
243,AR0360000,2014,14874
244,AR0360000,2013,15026
245,AR0360000,2012,14928
246,AR0360000,2011,16486
247,AR0360000,2010,16362
248,AR0360000,2009,16511
249,AR0360000,2008,16367
250,AR0360100,2017,9581
251,AR0360100,2016,9482
252,AR0360100,2015,9443
253,AR0360100,2014,9359
254,AR0360100,2013,9319
255,AR0360100,2012,9286
256,AR0360100,2011,9247
257,AR0360100,2010,9178
258,AR0360100,2009,8679
259,AR0360100,2008,8621
260,AR0430200,2017,26118
261,AR0430200,2016,25927
262,AR0430200,2015,26064
263,AR0430200,2014,25819
264,AR0430200,2013,24695
265,AR0430200,2012,24212
266,AR0430200,2011,23956
267,AR0430200,2010,23776
268,AR0430200,2009,24766
269,AR0430200,2008,24387
270,AR0470100,2017,14184
271,AR0470100,2016,14523
272,AR0470100,2015,14717
273,AR0470100,2014,15009
274,AR0470100,2013,15220
275,AR0470100,2012,15506
276,AR0470100,2011,15738
277,AR0470100,2010,15620
278,AR0470100,2009,15889
279,AR0470100,2008,15829
280,AR0540100,2017,10609
281,AR0540100,2016,10898
282,AR0540100,2015,11101
283,AR0540100,2014,11411
284,AR0540100,2013,11591
285,AR0540100,2012,12152
286,AR0540100,2011,12375
287,AR0540100,2010,12282
288,AR0540100,2009,11921
289,AR0540100,2008,12147
290,AR0570100,2017,5624
291,AR0570100,2016,5635
292,AR0570100,2015,5639
293,AR0570100,2014,5717
294,AR0570100,2013,5721
295,AR0570100,2012,5745
296,AR0570100,2011,5780
297,AR0570100,2010,5737
298,AR0570100,2009,5626
299,AR0570100,2008,5581
300,AR0600000,2017,50469
301,AR0600000,2016,49645
302,AR0600000,2015,49998
303,AR0600000,2014,50017
304,AR0600000,2013,51032
305,AR0600000,2012,51765
306,AR0600000,2011,51488
307,AR0600000,2010,51102
308,AR0600000,2009,56350
309,AR0600000,2008,54624
310,AR0600300,2017,66938
311,AR0600300,2016,67344
312,AR0600300,2015,67943
313,AR0600300,2014,67031
314,AR0600300,2013,65398
315,AR0600300,2012,63125
316,AR0600300,2011,62775
317,AR0600300,2010,62304
