,STATE_ABBR,DATA_YEAR,STATE_POPULATION,STATE_TOTAL_CRIMES
0,AK,1999,619500,50106
1,AK,2000,626932,49728
2,AK,2001,633630,50055
3,AK,2002,641482,51863
4,AK,2003,648280,52649
5,AK,2004,657755,48503
6,AK,2005,663253,52144
7,AK,2006,670053,52560
8,AK,2007,683478,50975
9,AK,2008,686293,44822
10,AK,2009,698473,45690
11,AK,2010,714146,45233
12,AK,2011,723860,42826
13,AK,2012,730307,44673
14,AK,1996,607000,61751
15,AK,1997,609000,59950
16,AK,1998,614000,54647
17,AK,2017,739795,58680
18,AK,2016,741522,55862
19,AK,1995,604000,64850
20,AK,2015,737709,47185
21,AK,2013,737259,47285
22,AK,2014,737046,45497
23,AK,1979,406000,48380
24,AK,1980,440142,47779
25,AK,1981,412000,51805
26,AK,1982,438000,51690
27,AK,1983,479000,54718
28,AK,1984,500000,58044
29,AK,1985,521000,58207
30,AK,1986,534000,63660
31,AK,1987,525000,54073
32,AK,1988,513000,47814
33,AK,1989,527000,47757
34,AK,1990,550043,53799
35,AK,1991,570000,61499
36,AK,1992,587000,61509
37,AK,1993,599000,62147
38,AK,1994,606000,64538
39,AL,1983,3959000,308251
40,AL,1984,3990000,294178
41,AL,2001,4468912,366088
42,AL,2002,4478896,380731
43,AL,2003,4503726,383813
44,AL,2004,4525375,384004
45,AL,2005,4548327,374464
46,AL,2006,4599030,382051
47,AL,2007,4627851,389625
48,AL,2008,4661900,402570
49,AL,2009,4708708,377692
50,AL,2010,4785401,356757
51,AL,2011,4803689,367345
52,AL,2012,4817528,360489
53,AL,2013,4833996,345265
54,AL,2014,4846411,330146
55,AL,1985,4021000,298628
56,AL,2017,4874747,314574
57,AL,2016,4860545,313450
58,AL,1996,4273000,387765
59,AL,1997,4319000,397997
60,AL,1998,4352000,377844
61,AL,1999,4369862,364217
62,AL,2000,4447100,382698
63,AL,1995,4253000,385482
64,AL,1982,3943000,347749
65,AL,2015,4853875,313297
66,AL,1979,3769000,304322
67,AL,1980,3861466,363702
68,AL,1981,3916000,365245
69,AL,1986,4053000,324998
70,AL,1987,4083000,340669
71,AL,1988,4127000,353470
72,AL,1989,4118000,356817
73,AL,1990,4040587,368578
74,AL,1991,4089000,404282
75,AL,1992,4136000,399726
76,AL,1993,4187000,375872
77,AL,1994,4219000,384874
78,AR,1996,2510000,222741
79,AR,1997,2523000,224811
80,AR,2017,3004279,202183
81,AR,1979,2180000,149882
82,AR,1998,2538000,204984
83,AR,1999,2551373,195414
84,AR,2000,2673400,208134
85,AR,2001,2694698,210402
86,AR,2002,2706268,213843
87,AR,2003,2727774,210617
88,AR,2004,2750000,235636
89,AR,2005,2775708,240498
